[2015-11-02 23:55:35] START
[2015-11-02 23:56:14] CREATE my_table.py: 0
[2015-11-03 00:08:58] EDIT Course_Regesitration/models/my_table.py: 12
[2015-11-03 00:09:19] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:11:23] EDIT Course_Regesitration/models/my_table.py: 2
[2015-11-03 00:17:36] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:17:43] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:18:00] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:18:32] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:18:58] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:19:35] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:19:56] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:21:08] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:24:05] EDIT Course_Regesitration/models/my_table.py: 1
[2015-11-03 00:24:14] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:24:45] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 00:25:31] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 01:13:16] EDIT Course_Regesitration/models/my_table.py: 1
[2015-11-03 01:13:26] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 01:20:55] EDIT Course_Regesitration/models/my_table.py: 11
[2015-11-03 01:27:12] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 18:07:29] EDIT Course_Regesitration/models/my_table.py: 10
[2015-11-03 18:07:59] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 18:14:36] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 18:17:20] EDIT Course_Regesitration/models/menu.py: -3
[2015-11-03 18:19:04] EDIT Course_Regesitration/models/menu.py: -101
[2015-11-03 18:21:33] EDIT Course_Regesitration/views/default/index.html: -47
[2015-11-03 18:22:24] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 18:22:55] EDIT Course_Regesitration/views/default/index.html: 44
[2015-11-03 18:24:41] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 18:24:44] EDIT Course_Regesitration/views/default/index.html: -42
[2015-11-03 18:53:36] EDIT Course_Regesitration/models/menu.py: -1
[2015-11-03 18:53:55] EDIT Course_Regesitration/models/menu.py: 1
[2015-11-03 18:54:08] EDIT Course_Regesitration/models/menu.py: -2
[2015-11-03 18:54:28] EDIT Course_Regesitration/models/menu.py: 2
[2015-11-03 19:00:22] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 19:01:42] EDIT Course_Regesitration/views/default/index.html: 5
[2015-11-03 19:02:09] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:05:40] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/IIIT_logo.png: 419
[2015-11-03 19:09:41] EDIT Course_Regesitration/views/default/index.html: 2
[2015-11-03 19:10:13] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:12:14] EDIT Course_Regesitration/views/default/index.html: 8
[2015-11-03 19:12:33] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:14:14] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:14:42] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:15:40] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:26:34] EDIT Course_Regesitration/views/default/index.html: 32
[2015-11-03 19:27:30] EDIT Course_Regesitration/views/default/index.html: 4
[2015-11-03 19:30:32] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:31:05] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:31:28] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:31:55] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:32:33] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:33:10] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:34:55] EDIT Course_Regesitration/views/default/index.html: -2
[2015-11-03 19:35:40] EDIT Course_Regesitration/views/default/index.html: -4
[2015-11-03 19:35:59] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:37:34] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:39:35] EDIT Course_Regesitration/views/default/index.html: 7
[2015-11-03 19:40:33] EDIT Course_Regesitration/views/default/index.html: 6
[2015-11-03 19:41:17] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:41:51] EDIT Course_Regesitration/views/default/index.html: -2
[2015-11-03 19:42:33] EDIT Course_Regesitration/views/default/index.html: 3
[2015-11-03 19:43:11] EDIT Course_Regesitration/views/default/index.html: 2
[2015-11-03 19:43:20] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:43:38] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:44:17] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:44:54] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 19:46:27] EDIT Course_Regesitration/views/default/index.html: -8
[2015-11-03 19:47:57] EDIT Course_Regesitration/views/default/index.html: 6
[2015-11-03 19:48:47] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:49:20] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:50:33] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:51:09] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:51:43] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:52:10] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:52:31] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:53:01] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 19:53:22] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 19:53:39] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 19:53:57] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 20:11:55] EDIT Course_Regesitration/models/my_table.py: -2
[2015-11-03 20:13:25] EDIT Course_Regesitration/views/default/index.html: -68
[2015-11-03 20:17:08] EDIT Course_Regesitration/models/menu.py: 1
[2015-11-03 20:19:19] EDIT Course_Regesitration/models/menu.py: 3
[2015-11-03 20:20:04] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:09:28] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:11:10] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:11:32] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:12:35] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:14:42] EDIT Course_Regesitration/models/menu.py: 2
[2015-11-03 21:15:14] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:15:35] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:16:08] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:18:00] EDIT Course_Regesitration/models/menu.py: -2
[2015-11-03 21:18:12] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:18:51] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-03 21:21:49] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 21:22:25] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 22:01:34] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 22:02:21] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 22:02:39] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 22:03:03] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-03 22:05:20] EDIT Course_Regesitration/views/default/index.html: 6
[2015-11-03 22:05:52] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:06:22] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:09:48] EDIT Course_Regesitration/views/default/index.html: 9
[2015-11-03 22:11:34] EDIT Course_Regesitration/views/default/index.html: 8
[2015-11-03 22:11:59] EDIT Course_Regesitration/views/default/index.html: -8
[2015-11-03 22:12:25] EDIT Course_Regesitration/views/default/index.html: 8
[2015-11-03 22:13:42] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:20:06] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/bg.jpg: 326
[2015-11-03 22:20:59] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:22:05] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:24:15] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:24:57] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:26:20] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:27:03] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:27:26] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:27:47] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:28:00] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:28:20] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:29:28] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:30:14] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:31:50] EDIT Course_Regesitration/views/default/index.html: 3
[2015-11-03 22:33:16] EDIT Course_Regesitration/views/default/index.html: 4
[2015-11-03 22:33:46] EDIT Course_Regesitration/views/default/index.html: 2
[2015-11-03 22:34:06] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:34:27] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:34:58] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:35:13] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:35:25] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:35:44] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:36:08] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:36:46] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:37:36] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:38:29] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:38:53] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:38:53] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:38:53] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:39:11] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:39:38] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:40:28] EDIT Course_Regesitration/views/default/index.html: 3
[2015-11-03 22:41:02] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:41:29] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:42:12] EDIT Course_Regesitration/views/default/index.html: -2
[2015-11-03 22:42:44] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:43:58] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:44:28] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:45:11] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 22:45:41] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:45:58] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:46:13] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:47:08] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:47:36] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:47:48] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:48:23] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:48:56] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:49:34] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:49:51] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:50:25] EDIT Course_Regesitration/views/default/index.html: -3
[2015-11-03 22:53:28] EDIT Course_Regesitration/views/default/index.html: 2
[2015-11-03 22:54:06] EDIT Course_Regesitration/views/default/index.html: 4
[2015-11-03 22:57:02] EDIT Course_Regesitration/views/default/index.html: -3
[2015-11-03 22:57:19] EDIT Course_Regesitration/views/default/index.html: -2
[2015-11-03 22:57:36] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 22:58:03] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:58:19] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 22:58:39] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:00:03] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:00:48] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:01:04] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:02:19] EDIT Course_Regesitration/views/default/index.html: -4
[2015-11-03 23:02:57] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:03:30] EDIT Course_Regesitration/views/default/index.html: -1
[2015-11-03 23:05:10] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:06:05] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:06:39] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:07:20] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:07:41] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:08:03] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:08:28] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:09:11] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:09:48] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:10:06] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:10:47] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:11:02] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:11:53] EDIT Course_Regesitration/views/default/index.html: 4
[2015-11-03 23:13:02] EDIT Course_Regesitration/views/default/index.html: 6
[2015-11-03 23:13:44] EDIT Course_Regesitration/views/default/index.html: 2
[2015-11-03 23:15:24] EDIT Course_Regesitration/views/default/index.html: 3
[2015-11-03 23:17:50] EDIT Course_Regesitration/views/default/index.html: 4
[2015-11-03 23:18:39] EDIT Course_Regesitration/views/default/index.html: 1
[2015-11-03 23:19:23] EDIT Course_Regesitration/views/default/index.html: 3
[2015-11-03 23:20:05] EDIT Course_Regesitration/views/default/index.html: 0
[2015-11-03 23:24:47] EDIT Course_Regesitration/models/my_table.py: 1
[2015-11-03 23:24:58] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:25:32] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:25:47] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:39:58] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:43:55] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:52:24] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:52:50] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-03 23:53:45] EDIT Course_Regesitration/models/my_table.py: 0
[2015-11-10 21:35:19] CREATE default/institute.html: 0
[2015-11-10 21:35:37] EDIT Course_Regesitration/views/default/institute.html: -2
[2015-11-10 21:36:58] EDIT Course_Regesitration/controllers/default.py: 3
[2015-11-10 21:37:36] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-10 21:38:40] EDIT Course_Regesitration/views/default/institute.html: 3
[2015-11-10 21:43:30] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/15.jpg: 126
[2015-11-10 21:43:51] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/image_bar_2.jpg: 683
[2015-11-10 21:46:14] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/main_building.jpg: 204
[2015-11-10 21:47:51] EDIT Course_Regesitration/views/default/institute.html: 9
[2015-11-10 21:49:32] EDIT Course_Regesitration/views/default/institute.html: 4
[2015-11-10 21:51:49] EDIT Course_Regesitration/views/default/institute.html: 1
[2015-11-10 21:54:24] EDIT Course_Regesitration/views/default/institute.html: 9
[2015-11-10 21:54:25] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 21:55:15] EDIT Course_Regesitration/views/default/institute.html: 1
[2015-11-10 21:55:49] EDIT Course_Regesitration/views/default/institute.html: 1
[2015-11-10 21:56:24] EDIT Course_Regesitration/views/default/institute.html: 2
[2015-11-10 21:57:04] EDIT Course_Regesitration/views/default/institute.html: 3
[2015-11-10 21:57:22] EDIT Course_Regesitration/views/default/institute.html: -1
[2015-11-10 22:01:14] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 22:02:26] EDIT Course_Regesitration/views/default/institute.html: 1
[2015-11-10 22:03:51] EDIT Course_Regesitration/views/default/institute.html: 4
[2015-11-10 22:05:53] EDIT Course_Regesitration/views/default/institute.html: 7
[2015-11-10 22:06:42] EDIT Course_Regesitration/views/default/institute.html: -1
[2015-11-10 22:07:10] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 22:09:12] EDIT Course_Regesitration/views/default/institute.html: 5
[2015-11-10 22:12:28] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 22:12:51] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 22:13:51] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 22:14:08] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 23:17:29] CREATE default/contact.html: 0
[2015-11-10 23:18:18] EDIT Course_Regesitration/controllers/default.py: 3
[2015-11-10 23:18:40] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-10 23:18:50] EDIT Course_Regesitration/views/default/institute.html: 0
[2015-11-10 23:19:57] EDIT Course_Regesitration/views/default/contact.html: 3
[2015-11-10 23:33:50] EDIT Course_Regesitration/controllers/default.py: 3
[2015-11-10 23:34:02] EDIT Course_Regesitration/controllers/default.py: 0
[2015-11-10 23:36:56] EDIT Course_Regesitration/models/my_table.py: 8
[2015-11-10 23:46:51] CREATE Student_management.py: 0
[2015-11-10 23:47:15] CREATE Course_management.py: 0
[2015-11-10 23:47:40] CREATE Prof_management.py: 0
[2015-11-10 23:48:00] EDIT Course_Regesitration/controllers/default.py: -3
[2015-11-10 23:53:45] EDIT Course_Regesitration/controllers/Course_management.py: -1
[2015-11-10 23:59:30] EDIT Course_Regesitration/models/menu.py: 4
[2015-11-11 00:00:18] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-11 00:00:51] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-11 00:00:57] EDIT Course_Regesitration/models/menu.py: 0
[2015-11-11 00:01:02] EDIT Course_Regesitration/models/menu.py: -3
[2015-11-11 00:06:35] EDIT Course_Regesitration/views/layout.html: 0
[2015-11-11 00:07:05] CREATE layout_academic.html: 0
